Name,BSE Code,NSE Code,Industry,Current Price,Average return on equity 5Years,Total Assets,Price to book value,EPS,Historical PE 7Years,Price to Earning,Price to Cash Flow,Market Capitalization,Return over 1year,Return over 5years,Return over 3years,Average return on equity 3Years,Price to Sales,Cash Equivalents,Free cash flow last year,Return on assets 3years,ROCE3yr avg,Altman Z Score,Historical PE 5Years,Average Working Capital Days 3years,Average debtor days 3years,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,Change in promoter holding 3Years,Average EBIT 5Year,Average Earnings 5Year,EBIDT growth 3Years,EBIDT growth 5Years,EBIDT growth 7Years,Sales growth 5years median,Debt 3Years back,Debt 5Years back,Net block 3Years back,Net block 5Years back,Working capital 3Years back,Working capital 5Years back,Net block,Debt,Working capital,Free cash flow 3years,Free cash flow 5years,Operating cash flow 3years,Operating cash flow 5years,Investing cash flow 3years,Investing cash flow 5years,Book value 3years back,Book value 5years back,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Exports percentage 3Years back
Glenmark Pharma.,532296,GLENMARK,Pharmaceuticals & Biotechnology,2051.9,-1.4,15990.96,6.54,26.71,15.67,43.44,-69.97,57904.78,20.51,34.49,74.71,-9.94,4.34,1705.23,-1574.75,-4.55,13.81,8.06,15.63,61.16,88.16,2.68,4.6,6.25,11.77,6.24,11.77,7.29,0,1695.48,-114.41,-0.38,5.81,5.37,2.85,3962.02,4868.63,5887.25,5028.56,3592.92,2677.63,4486.83,2472.67,3328.44,-2661.63,-1885.64,-467.65,1772.21,3929.37,2952.03,322.03,250.37,1.92,1.72,64.4
Glittek Granites,513528,,Other Construction Materials,10.09,-63.32,13.2,2.27,3.88,6.93,2.6,327.93,26.19,108.47,55.78,44.42,-108.85,25.18,9.72,33.12,-45.88,-42.72,8.31,2.98,119.2,189.79,-39.41,-35.29,,,,,,1.32,-5.7,-7.11,,,,-36.05,20.36,18.1,3.95,6.06,10.11,10.05,0.12,0,8.61,36.61,36.67,3.51,3.43,31.89,32.08,4.53,5.39,0.17,0.41,0
Global Cap.Mkt.,530263,,Finance,0.57,0.17,55.56,0.5,-0.01,19,,-6.92,22.7,-37.36,70.12,44.22,-0.71,6.32,0.49,-3.28,-0.64,-0.62,1.92,20,1098.39,422.06,-10.51,1.39,,10.16,,4.48,,0,0.12,0.09,,9.78,1.6,50.16,0.02,0.02,0.49,0.39,12.54,16.97,0.32,0.08,3.55,-6.13,-32.08,-6.13,-31.85,6.3,30.53,0.65,0.64,0.27,0.26,0
Global Education,,GLOBAL,Other Consumer Services,64.23,29.97,116.35,3.02,4.66,12.6,13.79,15.47,326.94,-21.29,47.31,11.82,34.62,4.77,1.93,17.37,32.38,48.26,7.69,13.44,194.93,120.54,19.97,20.32,32.66,25.95,32.74,25.9,21.77,-2.95,24.92,18.47,26.48,22.52,18.35,15.57,0,0,16.24,2.64,28.82,28.74,9.81,0,38.38,57.17,63.82,66.5,93.06,-43.53,-61.91,9.16,7.81,3.68,1.84,0
Global Health,543654,MEDANTA,Healthcare Services,1408.4,14.46,4766.23,11.17,19.88,62.12,66.38,60.69,37853.62,26.77,,,16.88,9.8,1122.34,110.2,10.63,18.8,15.31,62.12,-29.59,26.33,19.43,19.73,38.3,70.15,35.61,21.25,16.13,,497.7,309.5,24.82,32.58,27.69,20.86,1108.93,928.91,1775.86,1703.11,392.25,120.94,2514.01,717.73,914.3,854.45,992.45,1880.36,2433.39,-1504.09,-2164.12,,,12.67,9.89,0
Global Longlife,543520,,Healthcare Services,25.09,0.5,26.85,0.98,0.19,25,,2.14,26.34,-40.71,,-32.09,-4.42,84.97,21.49,33.42,-4.63,-3.28,3.44,25,463.3,193.7,-78.78,-60.76,,,,,,0.61,1.77,0.14,,,,-27.93,8.69,23.51,16.71,18.72,-2.42,2.4,0,0,22.58,-15.1,0.7,-33.17,-16.87,19.08,19.11,,,4.86,6.04,0
Global Offshore,501848,,Transport Services,68.83,,179.13,1.57,1.62,,,22.46,211.37,-15.74,54.18,3.02,,7.39,43.34,-1.26,-9.13,-9.17,3.1,,-573.09,59.58,-20.41,-23.12,21.83,13.81,22.66,14.01,9.96,-2.71,-25.64,-31.51,13.38,-25.71,11.24,-21.49,698.87,1043.41,494.93,513.53,-817.6,-734.98,115.62,29.55,30.18,164.67,189.99,29.31,70.16,135.72,120.39,-103.28,-75.66,0.37,0.29,0
Global Pet Indus,,GLOBALPET,Industrial Manufacturing,145,13.86,61.09,2.81,4.37,45.9,39.93,126.88,170.92,31.04,,,12.4,3.8,3.77,-6.75,8.04,19.1,7.39,45.9,126.64,20.45,17.65,17.9,56.81,35.13,-44.12,-27.24,,,2.76,2.05,48.06,29.33,,14.79,0.1,0.24,1.4,1.76,4.57,1.67,2.04,0,37.09,-15.15,-13.34,-3.45,-1.5,-28.61,-28.57,,,3.41,4.38,36.23
Global Surfaces,543829,GSLSU,Consumer Durables,105.04,8.11,557.54,1.47,-6.55,50.68,,-14.26,445.18,-54.68,,,1.75,1.98,7.19,-35.04,1.85,4.53,2.58,50.68,77.52,164.21,2.95,4.9,,,,,,,24.68,16.34,-42.57,-26.81,,7.44,79.43,53.73,88.2,60.08,56.41,48.7,286.26,199.46,89.04,-263.23,-220.48,-41.45,18.88,-202.22,-238.32,,,2.22,2.72,0
Global Vectra,532773,GLOBALVECT,Transport Services,209.25,-37.33,791.01,13.78,-2.82,6.98,,3,292.95,-27.27,30.71,55.41,-30.81,0.55,11.4,81.7,-1.12,4.29,1.09,54.48,-183,24.11,17.38,3.49,25.39,,25.39,,9.7,0,7.27,-14.11,13.77,-2.52,8.94,13.51,366.3,385.9,405.64,552,-218.95,-230.83,442.45,461.23,-223.5,238.31,322.28,237.71,307.7,184.47,298.25,29.24,34.21,0.7,0.44,0
Globale Tessile,544234,GLOBALE,Textiles & Apparels,14.01,,23.54,1.35,-0.83,,,-20.92,14.88,-71.26,,,-5.44,0.22,6.57,-0.71,-1.97,1.22,5.15,,41.14,52.27,64.43,,,,,,,,0.43,-0.2,,,,-9.56,3.73,,0,,4.16,,0,10.22,10.58,-12.9,-14.77,-12.9,-14.77,-1.61,-1.61,,,7.83,,0
Globalspace Tech,540654,,IT - Software,16.28,,68.06,1.03,0.22,84.8,75.61,0.71,55.95,-18.15,-17.36,-8.58,,1.34,0.29,37,,2.17,3.53,78.89,190.77,55.76,47.96,10.69,9.9,-25.64,9.93,-25.62,,0.53,,,-18.44,-10.89,,4.55,28.14,7.64,25.6,8.95,10.69,18.65,23.97,8.88,22.35,,,,,,,10.24,10.34,0.17,1.85,0
Globe Civil,544424,GLOBECIVIL,Construction,77.32,,366.84,,5.6,14.03,19.2,-42.86,461.75,,,,19.88,1.22,6.97,-12.27,4.69,20.17,4.24,14.03,89.03,114.88,9.84,,63.23,,-36.96,,,,,,32,,,13.98,70.75,,20.03,,60.75,,26.47,148.24,76.19,-34.42,,-17.79,,-12.18,,,,,,0
Globe Commercial,540266,,Commercial Services & Supplies,30.83,26.26,56.94,1,10.1,4.83,3.05,924.9,18.5,1.18,39.29,74.22,32.93,0.09,0.06,0.02,7.18,39.02,5.42,4.73,14.5,94.24,25.65,,81.21,213.43,81.19,213.41,77.09,0,3.46,2.49,82.72,235.65,59.01,25.31,1.47,0,0,0,0.74,-0.01,0,1.47,12.19,0.05,0.31,0.05,0.31,0,-1.72,11.78,10.1,134.56,,0
Globe Intl. Car.,,GICL,Transport Services,126.25,6.63,95.64,5.35,1.97,63.68,71.97,35.74,353.36,54.34,73.54,52.55,7.4,2.26,0.56,9.61,3.97,10.03,9.24,67.56,96.19,119.31,13.28,14.27,50.51,38.31,50.67,38.4,21.78,-10.69,5.17,2.32,32.95,21.3,12.47,5.58,20.18,20.02,1.09,1.46,21.19,15.25,1.9,25.48,37.76,-2.05,-3.47,-0.2,-1.43,-14.81,-13.89,10.56,9.99,,86,0
Globe Textiles,,GLOBE,Textiles & Apparels,2.19,,385.24,0.68,0.17,13.59,13.1,-5.64,98.64,-48.1,-1.73,-23.02,,0.17,1.31,-21.31,,10.47,2.92,13.59,47.28,98.45,,,,,,,,-28.68,,,,,,20.72,,,,,,,77.49,148.01,76.18,,,,,,,,,,,
Globesecure Tech,,GSTL,IT - Services,11,1.82,61.09,0.38,-1.8,73.07,,-0.73,17.53,-75.58,,-56,-0.29,1.04,0.32,-24.21,0.32,5.52,2.31,73.07,318.86,53.43,-13.77,-2.49,,,,,,,1.49,0.31,,,,-2.05,8.26,2.13,3.36,0.05,0.41,-4.87,3.67,6.99,32.53,-30.21,-35.08,-27.45,-28.59,-3.14,-6.77,,,3.84,3.1,0
Globtier Infotec,544494,,IT - Services,46.93,,53.93,,4.86,10.43,12.9,10.08,70.96,,,,32.12,0.75,3.43,3.59,10.47,31.33,5.21,10.43,23.71,101.81,11.06,,66.57,,15.5,,,,,,45.02,,,7.04,10.6,,0.85,,8.24,,6.67,12.21,11.74,2.14,,13.11,,-11.19,,,,,,0
Globus Power,526025,,Power,14.5,-5.38,8.22,17.63,0.37,,,39.61,143.48,-24.2,25.22,-21.7,-10.57,,0.03,3.62,-4.4,-13.96,29.12,,-851.67,0,,,3.51,5.99,3.51,5.99,4.44,0,-0.5,-0.52,3.51,5.85,3.93,-100,0,0,0.03,0.05,-0.04,0.02,0,0,-0.04,9.4,3.23,9.37,3.19,0.03,0.04,1.24,1.3,,,
Globus Spirits,533104,GLOBUSSPR,Beverages,1087.9,14.55,2096.24,3.17,9.36,17.74,116.24,45.37,3151.18,0.04,39.85,7.78,8.9,1.22,69.09,-138.61,5.23,11.29,4.43,19.13,-7.03,41.49,17.1,16.92,-48.91,-15.85,-49.01,-15.95,19.61,-0.25,182.23,115.02,-21.28,3.49,11.78,14.83,180.31,180.39,669.64,568.7,131.43,-20.49,1018.18,526.55,-34.47,-259.53,-161.26,343.44,703.82,-587.48,-903.08,268.13,205.1,9.34,7.65,0
Gloster Ltd,542351,GLOSTERLTD,"Paper, Forest & Jute Products",664.25,3.07,2018.01,0.67,-1.74,11.44,,-7.31,726.91,-14.41,22.15,4.76,1.98,0.8,25.25,-327.42,1.74,3.82,1.99,13.07,77.48,36.05,0.04,8.22,,,,,,0,59.02,32.34,-18.2,-0.67,-4.3,-0.37,10.36,28.59,709.39,660.86,249.61,192.51,1115.48,579.47,233.61,-517.42,-523.65,5.78,174.58,-429.77,-576.76,982.18,912.21,2.92,2,0
GMM Pfaudler,505255,GMMPFAUDLR,Industrial Manufacturing,1158.9,17.21,3090.28,5.09,9.1,49.44,61.6,13.79,5210.09,-17.76,-9.14,-15.96,15.91,1.62,467.1,318.24,4.71,17.91,4.77,56.12,34.85,46.67,7.98,40.17,-8.01,-1.7,-8.74,-2.17,6.21,-29.77,239.3,116.12,10.39,27.04,27.59,25.07,635.8,34.43,1001.76,133.55,617.81,189.82,1165.02,850.39,753.15,700.83,887.63,846.74,1239.85,-377.74,-577.66,120.07,92.54,1.78,1.37,0
GMR Airports,532754,GMRAIRPORT,Transport Infrastructure,85.95,,48756.76,,-0.44,,,26.36,90754.4,-5.58,31.56,29.31,,8.09,943.92,-680.76,-2.42,5.91,3.25,,-241.34,19.62,31.3,4.41,3.48,10.73,14.22,12.58,8.3,7.34,1622.02,-958.28,19.93,7.79,9.78,29.02,26632.71,34441.58,10325.21,16177.5,-1475.47,-6991.45,28224.01,38217.69,-3024.18,-3006.72,-4326.62,9521.89,12781.43,-11774.55,-11383.11,-1.35,-2.85,1.12,0.6,1.18
GMR Urban,543490,GMRP&UI,Power,110.91,,16986.73,13.51,2.58,6.56,,2.8,7928.25,-19.87,,51.73,,1.24,986.35,2742.08,-1.57,14.69,1.49,6.56,-222.01,86.48,15.65,,22.5,,23.06,,,-9.29,931,-514.5,32.16,,,34.47,10413.11,,3013.22,,-4446.94,,8170.69,10259.28,923.94,5693.66,7557.18,5753.35,7556.06,2058.78,4018.64,-35.86,,32.34,,0
GNA Axles,540124,GNA,Auto Components,308,15.02,1365.12,1.47,23.85,14.04,12.92,14.35,1322.27,-29.64,22.35,-6.14,14.88,0.89,32.16,-17.76,9.47,16.95,4.4,15.09,102.71,139.7,6.62,11.13,6.33,15.14,6.31,15.13,11.15,1.01,144.8,99.25,5.43,11.08,10.47,2.22,221.9,193.69,290.61,244.45,315.31,227.47,405.64,258.84,545.1,22.27,21.32,295.9,370.45,-263.15,-337.56,138.78,120.69,5.31,4.11,59.86
GNG Electronics,544455,EBGNG,IT - Hardware,364.25,33.68,719.47,,7.09,47.27,60.34,169.28,4152.87,,,,36,2.94,60.78,14.54,12.26,20.96,12.61,47.27,38.99,35.11,39.55,41.97,50.4,111.15,-88.92,,,,58.07,36.29,58,77.45,,40.69,100.19,54,7.43,7.83,86.28,34.74,41.31,453.79,261.06,88.64,57.39,123.46,93.83,-59.66,-63.07,,,4.47,4.36,0
Go Digit General,544179,GODIGIT,Insurance,354.05,,21460.94,7.58,5.01,91.7,70.77,20.38,32689.44,-9,,,7.12,3.44,239.05,1586.65,1.13,5.81,2.4,91.7,-604.13,0,34.62,,50.55,,49.09,,,,34.61,34.61,52.49,,,38.43,0,,124.73,,-7417.71,,215.29,350,-14961.88,5520.08,9485.35,5574.25,9616.62,-7337.6,-12461.41,,,,,0
Go Fashion (I),543401,GOCOLORS,Retailing,730.3,12.68,1287.72,5.66,16.13,71.72,45.28,19.84,3944.28,-36.61,,-15.68,15.12,4.64,238.34,159.17,8.37,16.15,7.18,71.72,107.52,41.1,28.33,16.69,38.5,12.08,38.5,-0.35,-2.5,0,110.14,57.43,27.09,17.31,34.65,14.66,249.8,258.58,291.16,255.74,241.31,169.08,559.99,507,473.33,403.3,496.34,521.19,644.29,-232.03,-337.94,81.17,,1.11,1.01,0
Goa Carbon,509567,GOACARBON,Minerals & Mining,456,22.51,531.06,1.92,-36.02,9.29,,-7.78,417.24,-41.5,16.32,1.68,23.5,0.72,135.13,-57.08,7.17,17.66,3.12,8.49,-4.97,36.67,-12.77,4.07,,2.59,,2.59,,0,68.36,34.78,,4.49,,-15.32,239.78,3.69,22.91,26.24,77.93,32.37,26.85,281.36,161.3,20.64,-37.51,26.53,-28.44,160.03,10.57,125.22,83.26,5.03,2.88,0
Goblin India,542850,,Consumer Durables,17.21,0.49,81.64,0.55,1.75,11.25,12.26,2.9,23.78,-54.71,-12.13,-38.34,4.56,0.43,0.93,8.01,2.18,7.35,2.75,13.66,377.98,258.27,43.37,-4.81,42.92,-14.48,39.16,-19.13,-39.17,-22.51,2.67,0.15,171.96,-6.43,-1.3,22.57,27.53,20.46,3.94,2.27,41.33,30.86,3.57,13.04,46.11,7.5,-3.01,11.14,0.66,-1.14,-0.88,23.26,24.73,0.85,1.47,0
GOCL Corpn.,506480,GOCLCORP,Chemicals & Petrochemicals,359.55,5.25,3104.43,1.13,271.02,22.11,19.07,113.81,1782.38,-23.09,13.12,6.54,4.73,6.6,49.34,256.29,2.12,6.58,2.52,19.19,687.25,35.96,3.65,2.15,24.27,17.57,24.27,17.57,19.88,-1.01,164.06,67.02,14.95,20.93,10.69,-9.15,1594.97,1192.7,303.09,368.92,713.45,102.35,167.6,1115.31,1521.75,407.83,335.27,-20.97,-75.45,1129.52,910.36,232.33,235.06,3.07,4.47,0
Godavari Bioref.,544279,GODAVARIB,Diversified FMCG,283.84,2.18,1955.09,1.86,-5.83,488.64,,236.3,1452.58,,,,0.57,0.77,31.38,-65.22,0.21,7.41,2.94,488.64,2.93,34.88,3.19,5.09,,,,,,,94.88,11.01,-5.17,1.24,,10.67,635.61,589.06,666.96,734.96,60.57,-226.44,877.59,489.77,139,45.12,159.72,388.78,563.58,-327.39,-382.55,,,2.39,2.83,22.81
Godavari Drugs,530317,,Pharmaceuticals & Biotechnology,82.49,14.53,143.08,1.43,5.03,12.12,16.39,5.52,62.12,-40.53,16.77,6.29,12.5,0.59,2.37,-8.8,3.59,12.94,2.11,12.45,14.33,135.71,-11.06,3.44,-5.86,16.97,-5.86,16.97,26.82,-4.29,9.97,4.6,3.43,15.01,15.32,-0.92,23.07,27.6,26.25,13.81,16.57,9.58,32.6,61.63,5.67,0.67,6.31,42.83,55.39,-41.37,-47.59,39.35,32.39,11.01,6.26,0
Godawari Power,532734,GPIL,Industrial Products,242.37,27.02,6157.21,3.3,11.08,5.34,21.91,18.12,16224.33,30.46,74.45,61.04,20.25,3.03,694.33,361.29,15.69,26.64,7.02,7.72,43.31,14,-0.16,10.43,-16.52,36.29,-15.06,37.72,22.02,-4.02,1294.66,912.86,-12.78,15.58,11.44,6.45,428.46,1696.73,1529.56,2269.31,1129.78,479.23,2729.94,308.83,1328.94,1500.47,3153.72,2902.31,5201.43,-1409.66,-2566.89,47,28.88,3.83,3.9,42.56
Godfrey Phillips,500163,GODFRYPHLP,Cigarettes & Tobacco Products,11073,17.37,6969.03,10.97,230.75,15.79,47.36,536.87,57572.87,53.67,64.35,115.47,19.15,9.54,30.3,-52.71,13.81,23.68,16.13,14.99,55.08,21.54,27.81,14.3,36.06,23.93,36.06,23.93,34.71,-0.25,804.45,590.72,29.4,18.52,26.9,12.79,336.9,356.64,982.51,1015.01,356.4,214.95,731.63,178.97,1395.46,875.32,1459.87,1133.41,1921.84,-82.98,-614.88,563.06,496.61,1.61,1.76,21.17
Godha Cabcon,,GODHA,Industrial Manufacturing,0.59,3.13,272.83,0.88,0.05,95,11.74,-0.82,87.1,-32.95,-14.88,-42.54,3.84,0.51,10.73,-101.21,-0.16,1.43,2.51,116,1165.5,391.59,70.64,27.45,106.02,74.75,58.02,49.03,18.72,-69.52,2.21,1.28,69.25,35.98,21.75,9.08,4.1,7.85,5.14,1.93,22.63,23.25,0.43,78.6,168.33,-143.15,-141.81,-147.79,-146.45,5.52,1.78,0.38,0.37,45.38,23.16,0
Godrej Agrovet,540743,GODREJAGRO,Food Products,748.6,15.71,5505.49,6.05,23.67,31.3,31.64,14.85,14397.71,-3.98,9.13,12.78,14.52,1.49,39.33,757.71,6.06,13.31,6.98,30.08,-1.57,21.47,4.15,6.14,1.25,6.68,1.22,6.65,9.94,-6.17,561.42,354.63,4.74,10.84,9.3,1.99,1598.68,651.33,2407.05,2156.5,160.73,-77.89,2911.64,1395.98,-8.95,1653.55,1014.53,2521.36,2390.89,-693.12,-1079.92,118.08,106.79,5.36,5.06,0
Godrej Consumer,532424,GODREJCP,Personal Products,1231.5,5.79,19297.5,10.5,18.12,51.89,66.42,48.9,125991.6,-14.68,13.57,9.19,-0.55,8.57,483.06,2017.58,-0.34,18.31,12.43,57.63,-47.49,40.04,5.37,7.7,1.6,3.75,1.59,3.73,3.47,-10.15,2571.98,663.83,9.77,7.79,6.17,8.47,1704.34,3574.97,9219.3,9231.4,871.35,-375.4,10676.19,4009.19,-2709.46,5969.28,9288.4,6797.35,10277.55,-5528.71,-6665.18,113.01,92.31,3.23,2.95,0
Godrej Industrie,500164,GODREJIND,Diversified,1201.9,7.13,87727.57,3.99,29.94,37.63,40.15,-7.86,40480.37,-0.74,23,37.39,7.2,2.04,6782.47,-5911.69,2.13,7.08,1.41,40.16,-14.31,30.37,11.63,11.73,9.55,11.44,9.53,11.42,21.39,3.78,2323.22,550.65,26.75,21.13,24.58,18.41,14506.47,7275.36,4970.62,4049.13,1235.04,-1645.67,6953.71,38087.82,7698.65,-16532.92,-20188.29,-13844.28,-16272.63,-5357.13,-10458.14,211.73,224.45,1.25,0.86,0
